SBU,Year,Country,Sold-to Code (Number version),# Products,Net Sales (EUR),Base Quantity (Volume-tons)
APF,2018,Argentina,1000,1,0,0
APF,2018,Argentina,629929,6,91214.29,4.116
APF,2018,Argentina,845310,8,28008.17,4.4687
APF,2018,Argentina,857089,35,-26840.92,-3.14543
APF,2018,Argentina,952150,36,985627.3,53.89
APF,2018,Argentina,952153,9,12140.75,0.491
APF,2018,Argentina,952176,8,27137.37,1.155
APF,2018,Argentina,952199,30,35415.57,2.244452
APF,2018,Argentina,952208,3,-168917.31,-10.5
APF,2018,Argentina,952213,8,95813.22,4.77
APF,2018,Argentina,952222,11,20373.98,1.0144
APF,2018,Argentina,952269,15,355157.33,25.731958
APF,2018,Argentina,952324,12,59267.63,11.244
APF,2018,Argentina,952328,8,71247.78,3.15
APF,2018,Argentina,952380,39,1318789.91,82.683
APF,2018,Argentina,952455,2,188537.52,6.174
APF,2018,Argentina,952462,13,213453.93,10.08
APF,2018,Argentina,952498,13,103303.28,6.243904
APF,2018,Argentina,952502,34,731346.57,39.5813
APF,2018,Argentina,952527,3,95519,2.625
APF,2018,Argentina,952561,5,31330.58,1.792
APF,2018,Argentina,952564,10,88359.08,4.345
APF,2018,Argentina,952573,38,1138324.24,64.264912
APF,2018,Argentina,952576,14,66202.37,3.18
APF,2018,Argentina,952578,9,22522.07,1.635
APF,2018,Argentina,952580,12,5714.67,0.2756
APF,2018,Argentina,952590,14,86088.17,4.2072
APF,2018,Argentina,952608,16,73381.41,3.8776
APF,2018,Argentina,952654,10,48437.41,1.21
APF,2018,Argentina,952701,29,166850.74,8.7438
APF,2018,Argentina,952703,7,13353.99,1.7712
APF,2018,Argentina,952719,13,160653.63,7.738
APF,2018,Argentina,952744,12,61153.67,2.846768
APF,2018,Argentina,952791,1,31258.76,1.8656
APF,2018,Argentina,952822,2,22901.55,0.666
APF,2018,Argentina,952831,24,138485.19,7.6146
APF,2018,Argentina,952851,15,94661.91,13.8228
